hop_name,location,code,ptr_lat,ptr_lon,ptr_city
9-5.r0.121.1270.sv1.sjc.us.iptp.net,sjc|us,US-CA,37.362598,-121.929001,San Jose
be-2401-cs04.9greatoaks.ca.ibone.comcast.net,9greatoaks|ca,,,,
be-2301-cs03.9greatoaks.ca.ibone.comcast.net,9greatoaks|ca,,,,
be-304-cr12.champa.co.ibone.comcast.net,champa|co,,,,
msw1am.02.lax3.tfbnw.net,lax,US-CA,33.942501,-118.407997,Los Angeles
msw1ai.01.hkg1.tfbnw.net,hkg,HK,22.320304,114.198074,Hong Kong
ae3.cr4-phx1.ip4.gtt.net,phx,US-AZ,33.434299,-112.012001,Phoenix
ae8.r22.tyo01.icn.netarch.akamai.com,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae4.r01.tyo03.icn.netarch.akamai.com,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae14.r01.tyo03.ien.netarch.akamai.com,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae6.r02.border.tyo03.sdn.netarch.akamai.com,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae5.cbs02.eq01.hkg03.networklayer.com,hkg,HK,22.320304,114.198074,Hong Kong
ae9.cbs02.pn01.hkg01.networklayer.com,hkg,HK,22.320304,114.198074,Hong Kong
msw1ax.02.hkg1.tfbnw.net,hkg,HK,22.320304,114.198074,Hong Kong
dns-sw01.sanjose.ca.sfba.comcast.net,sanjose|ca,US-CA,37.33939,-121.89496,San Jose
0.xe-4-2-2.GW6.SJC7.ALTER.NET,sjc,US-CA,37.362598,-121.929001,San Jose
ae-18.a03.snjsca04.us.bb.gin.ntt.net,snjsca|us,,,,
ae-6.a04.snjsca04.us.bb.gin.ntt.net,snjsca|us,,,,
be4660.ccr21.sea02.atlas.cogentco.com,sea,US-WA,47.449001,-122.308998,Seattle
gigabitethernet2-8.core1.tyo1.he.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae6.cr4-tyo1.ip4.gtt.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae-25.a03.sttlwa01.us.bb.gin.ntt.net,sttlwa|us,,,,
if-ae-18-2.thar1.tv2-tokyo.as6453.net,tokyo,JP-13,35.6895,139.69171,Tokyo
ae60-0.ier03.tyo33.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
be4661.ccr22.sea02.atlas.cogentco.com,sea,US-WA,47.449001,-122.308998,Seattle
ae5.pr01.itm1.tfbnw.net,itm,JP-27,34.7855,135.438004,Osaka
po4000.asw03.itm1.tfbnw.net,itm,JP-27,34.7855,135.438004,Osaka
po201.asw01.hkg4.tfbnw.net,hkg,HK,22.320304,114.198074,Hong Kong
po4008.asw03.nrt1.tfbnw.net,nrt,JP-12,35.764702,140.386002,Tokyo / Narita
msw1as.01.nrt1.tfbnw.net,nrt,JP-12,35.764702,140.386002,Tokyo / Narita
if-be-47-2.ecore1.un0-phoenix.as6453.net,phoenix,US-AZ,33.44838,-112.07404,Phoenix
SoftLayer.BE1-186.br06.tok02.as3491.net,tok,JP-13,35.6895,139.69171,Tokyo
bundle-ether45.br04.tap01.as3491.net,tap,TW,25.04776,121.53185,Taipei
ae-0.telecom-italia.plalca01.us.bb.gin.ntt.net,plalca|us,,,,
as6939.core1.nyc4.he.net,nyc,US-NY,40.639801,-73.7789,New York
msw1an.02.hkg4.tfbnw.net,hkg,HK,22.320304,114.198074,Hong Kong
if-ae-2-2.tcore1.svw-singapore.as6453.net,singapore,SG,1.28967,103.85007,Singapore
BE46.br02.tok13.as3491.net,tok,JP-13,35.6895,139.69171,Tokyo
po16.es01.tyo001.ix.nflxvideo.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
pat1.sjc.yahoo.com,sjc,US-CA,37.362598,-121.929001,San Jose
