#IATA	size	name	lat long	country_code	city	pop	heuristic	1	2	3
BAU	medium_airport	Bauru Airport	-22.3449993134 -49.0537986755	BR	Bauru	335024 0 0 0 
BAV	medium_airport	Baotou Airport	40.5600013733 109.9970016479	CN	Baotou	1301768 0 0 0 
BAX	medium_airport	Barnaul Airport	53.3638000488 83.5384979248	RU	Barnaul	599579 0 0 0 
BAY	medium_airport	Tautii Magheraus Airport	47.6584014893 23.4699993134	RO	Baia Mare	137976 2 0 0 
BBD	medium_airport	Curtis Field	31.1793003082 -99.3238983154	US	Brady	5528 0 0 0 
BBI	medium_airport	Biju Patnaik Airport	20.2444000244 85.8178024292	IN	Bhubaneswar	762243 0 0 0 
BBK	medium_airport	Kasane Airport	-17.8328990936 25.162399292	BW	Kasane	9250 0 0 0 
BBM	medium_airport	Battambang Airport	13.0956001282 103.2239990234	KH	Battambang	150444 0 0 0 
BBO	medium_airport	Berbera Airport	10.3892002106 44.9411010742	SO	Berbera	242344 0 0 0 
BBS	medium_airport	Blackbushe Airport	51.3238983154 -0.8475000262	GB	Yateley	20214 0 0 0 
BBT	medium_airport	Berbérati Airport	4.2215800285 15.7863998413	CF	Berbérati	61815 0 0 0 
BBU	medium_airport	Băneasa International Airport	44.503200531 26.1021003723	RO	Bucharest	1877155 0 0 0 
BCA	medium_airport	Gustavo Rizo Airport	20.3652992249 -74.5062026978	CU	Baracoa	48362 0 0 0 
BCD	medium_airport	Bacolod-Silay City International Airport	10.7763996124 123.0149993896	PH	Bacolod City	454898 0 0 0 
BCH	medium_airport	Cakung Airport	-8.4890298843 126.401000977	TL	Baucau	16000 0 0 0 
BCM	medium_airport	Bacău Airport	46.521900177 26.9102993011	RO	Bacău	171396 0 0 0 
BCN	large_airport	Barcelona International Airport	41.2971000671 2.0784599781	ES	Barcelona	1621537 0 0 0 
BDA	medium_airport	L.F. Wade International International Airport	32.3639984131 -64.6787033081	BM	Hamilton	902 0 0 0 
BDB	medium_airport	Bundaberg Airport	-24.9039001465 152.319000244	AU	Bundaberg	70826 0 0 0 
BDE	medium_airport	Baudette International Airport	48.7284011841 -94.612197876	US	Baudette	1106 0 0 0 
BDL	large_airport	Bradley International Airport	41.9388999939 -72.6831970215	US	Hartford	124775 0 0 0 
BDO	medium_airport	Husein Sastranegara International Airport	-6.9006299973 107.5759963989	ID	Bandung-Java Island	1699719 3 0 0 
BDQ	medium_airport	Vadodara Airport	22.3362007141 73.2263031006	IN	Vadodara	1409476 0 0 0 
BDR	medium_airport	Igor I Sikorsky Memorial Airport	41.1635017395 -73.1261978149	US	Bridgeport	144229 0 0 0 
BDS	medium_airport	Brindisi / Casale Airport	40.6576004028 17.9470005035	IT	Brindisi	78548 0 0 0 
BDU	medium_airport	Bardufoss Airport	69.0558013916 18.5403995514	NO	Målselv	840 0 0 0 
BED	medium_airport	Laurence G Hanscom Field	42.47000122 -71.28900146	US	Bedford	12502 0 0 0 
BEG	large_airport	Belgrade Nikola Tesla Airport	44.8184013367 20.3090991974	RS	Belgrade	1273651 0 0 0 
BEI	large_airport	Beijing Nanyuan Airport	39.7827987671 116.3880004883	CN	Beijing	7480601 0 0 0 
BEL	large_airport	Val de Cans/Júlio Cezar Ribeiro International Airport	-1.3792500496 -48.4762992859	BR	Belém	1407737 2 0 0 
BEN	medium_airport	Benina International Airport	32.0968017578 20.2695007324	LY	Benghazi	650629 0 0 0 
